1	ʔeyn	ʔeyn	VERB	exs	_	0	root	_	_
2	xxx	xxx	X	w	_	1	dep	_	_
3	Hagāri	Hagāri	PROPN	n:prop	_	1	vocative	_	_
4	cm	,	PUNCT	cm	_	1	punct	_	_
5	ze	ze	PRON	pro:dem	_	7	nsubj	_	_
6	ha	ha	DET	det	_	7	det	_	_
7	ṭeyp	ṭeyp	NOUN	n	_	1	parataxis	_	_
8	cm	,	PUNCT	cm	_	1	punct	_	_
9	ʔanī	ʔanī	PRON	pro:person	_	10	nsubj	_	_
10	hiqlīṭ	maqliṭā	VERB	part	_	1	parataxis	_	_
11	ʔet	ʔet	ADP	prep	_	12	case	_	_
12	ʔat	ʔat	PRON	pro:person	_	10	dobj	_	_
13	.	.	PUNCT	.	_	1	punct	_	_

1	lāma	lāma	ADV	que	_	3	advmod	_	_
2	ʔat	ʔat	PRON	pro:person	_	3	nsubj	_	_
3	baḳā	boḳā	VERB	part	_	0	root	_	_
4	?	?	PUNCT	?	_	3	punct	_	_

1	ʔat	ʔat	PRON	pro:person	_	2	nsubj	_	_
2	racā	rocā	VERB	part	_	0	root	_	_
3	šamāʕ	lišmōaʕ	VERB	v	_	2	xcomp	_	_
4	?	?	PUNCT	?	_	2	punct	_	_

1	ken	ken	INTJ	adv	_	0	root	_	_
2	?	?	PUNCT	?	_	1	punct	_	_

1	ken	ken	INTJ	adv	_	0	root	_	_
2	.	.	PUNCT	.	_	1	punct	_	_

1	ʔaz	ʔaz	CONJ	adv	_	2	cc	_	_
2	šamāʕ	nišmāʕ	VERB	v	_	0	root	_	_
3	mi	mi	ADP	prep	_	5	case	_	_
4	ha	ha	DET	det	_	5	det	_	_
5	ṭeyp	ṭeyp	NOUN	n	_	2	nmod	_	_
6	ha	ha	DET	det	_	7	det	_	_
7	šenī	šenī	ADJ	adj	_	5	amod	_	_
8	cm	,	PUNCT	cm	_	2	punct	_	_
9	ki	ki	SCONJ	conj:subor	_	17	mark	_	_
10	be	be	ADP	prep	_	12	case	_	_
11	~ha	~ha	DET	det	_	12	det	_	_
12	ṭeyp	ṭeyp	NOUN	n	_	17	nmod	_	_
13	ha	ha	DET	det	_	14	det	_	_
14	ze	ze	PRON	pro:dem	_	12	amod	_	_
15	cm	,	PUNCT	cm	_	17	punct	_	_
16	ma	ma	PRON	que	_	17	dobj	_	_
17	ʕaṣā	ʕoṣīm	VERB	part	_	2	advcl	_	_
18	?	?	PUNCT	?	_	2	punct	_	_

1	Hagāri	Hagāri	PROPN	n:prop	_	4	vocative	_	_
2	cm	,	PUNCT	cm	_	4	punct	_	_
3	ʔal	ʔal	PART	neg	_	4	neg	_	_
4	hirbīc	tarbīci	VERB	v	_	0	root	_	_
5	le	le	ADP	prep	_	7	case	_	_
6	~ha	~ha	DET	det	_	7	det	_	_
7	ṭeyp	ṭeyp	NOUN	n	_	4	nmod	_	_
8	.	.	PUNCT	.	_	4	punct	_	_

1	ʔat	ʔat	PRON	pro:person	_	3	nsubj	_	_
2	loʔ	loʔ	PART	neg	_	3	neg	_	_
3	racā	rocā	VERB	part	_	0	root	_	_
4	še	še	SCONJ	conj:subor	_	5	mark	_	_
5	hiqlīṭ	naqlīṭ	VERB	v	_	3	ccomp	_	_
6	ʔet	ʔet	ADP	prep	_	7	case	_	_
7	ʔat	ʔat	PRON	pro:person	_	5	dobj	_	_
8	?	?	PUNCT	?	_	3	punct	_	_

1	ʔaxār	ʔaxār	ADV	X	_	4	advmod	_	_
2	kaḳ	kaḳ	ADV	X	_	1	mwe	_	_
3	ʔanī	ʔanī	PRON	pro:person	_	4	nsubj	_	_
4	hišmīaʕ	ʔašmīaʕ	VERB	v	_	0	root	_	_
5	le	le	ADP	prep	_	6	case	_	_
6	ʔat	ʔat	PRON	pro:person	_	4	nmod	_	_
7	ma	ma	PRON	que	_	4	dobj	_	_
8	še	še	SCONJ	conj:subor	_	9	mark	_	_
9	dibēr	dibēr	VERB	v	_	7	acl:relcl:obj	_	_
10	.	.	PUNCT	.	_	4	punct	_	_

1	Gūgu	Gūgu	PROPN	n:prop	_	4	vocative	_	_
2	cm	,	PUNCT	cm	_	4	punct	_	_
3	le	le	ADP	prep	_	4	case	_	_
4	yēled	yēled	NOUN	n	_	0	root:promoted	_	_
5	ʕim	ʕim	ADP	prep	_	6	case	_	_
6	quqiyā	quqiyōt	NOUN	n	_	4	nmod	_	_
7	.	.	PUNCT	.	_	4	punct	_	_

1	ʔavāl	ʔavāl	CONJ	conj	_	4	cc	_	_
2	hīne	hīne	INTJ	co	_	4	discourse	_	_
3	ze	ze	PRON	pro:dem	_	4	nsubj	_	_
4	hiqlīṭ	maqlīṭ	VERB	part	_	0	root	_	_
5	cm	,	PUNCT	cm	_	4	punct	_	_
6	ʔat	ʔat	PRON	pro:person	_	7	nsubj	_	_
7	raʔā	roʔā	VERB	part	_	4	parataxis	_	_
8	še	še	SCONJ	conj:subor	_	10	mark	_	_
9	ze	ze	PRON	pro:dem	_	10	nsubj	_	_
10	histovēv	mistovēv	VERB	part	_	7	ccomp	_	_
11	?	?	PUNCT	?	_	4	punct	_	_

1	baʔ	bōʔi	VERB	v	_	2	discourse	_	_
2	raʔā	tirʔī	VERB	v	_	0	root	_	_
3	.	.	PUNCT	.	_	2	punct	_	_

1	baʔ	bōʔi	VERB	v	_	3	discourse	_	_
2	ʔanī	ʔanī	PRON	pro:person	_	3	nsubj	_	_
3	hisbīr	ʔasbīr	VERB	v	_	0	root	_	_
4	le	le	ADP	prep	_	5	case	_	_
5	ʔat	ʔat	PRON	pro	_	3	nmod	_	_
6	.	.	PUNCT	.	_	3	punct	_	_

1	ma	ma	PRON	que	_	9	discourse	_	_
2	qarā	qarā	VERB	v	_	1	mwe	_	_
3	Lōli	Lōli	PROPN	n:prop	_	9	vocative	_	_
4	cm	,	PUNCT	cm	_	9	punct	_	_
5	ʔat	ʔat	PRON	pro:person	_	9	nsubj	_	_
6	ʔaf	ʔaf	DET	X	_	9	advmod	_	_
7	pāʕam	pāʕam	NOUN	X	_	6	mwe	_	_
8	loʔ	loʔ	PART	neg	_	9	neg	_	_
9	hitnagēd	hitnagādet	VERB	v	_	0	root	_	_
10	cm	,	PUNCT	cm	_	9	punct	_	_
11	ʔat	ʔat	PRON	pro:person	_	12	nsubj	_	_
12	racā	rocā	VERB	part	_	9	parataxis	_	_
13	še	še	SCONJ	conj:subor	_	15	mark	_	_
